lichess_id,fen,moves,rating,themes
KM0Nq,8/8/1P6/4k3/2K2p1p/8/7P/8 b - - 0 48,f4f3 b6b7 f3f2 b7b8q,595,"advancedPawn,crushing,endgame,master,pawnEndgame,promotion,short"
JOGv3,5r2/pp6/2p3k1/2R1p2n/8/1BP5/Pr4PP/5R1K w - - 0 27,f1f8 b2b1 b3d1 b1d1 f8f1 d1f1,529,"backRankMate,endgame,long,mate,mateIn3"
qBprc,k2r4/1b4Qp/p7/3r4/8/8/5PPP/1R4K1 w - - 1 32,g2g3 d5d1 b1d1 d8d1,399,"endgame,mate,mateIn2,pillsburysMate,short"
BqkHU,6k1/5p1p/6p1/3Q4/p1P2Pq1/8/P4b1P/4R2K w - - 0 35,e1e7 g4g1,590,"endgame,master,mate,mateIn1,oneMove"
xE8U7,2r3k1/1pp1Rppp/1p1p1n2/5r2/3P4/P1P2P2/1P3PK1/4R3 b - - 7 26,f6d5 e7e8 c8e8 e1e8,429,"backRankMate,endgame,mate,mateIn2,short"
inte6,r3r1k1/pp3ppp/3p1Nq1/2pP4/8/4Q1P1/PPP2P1P/3bR1K1 b - - 1 22,g6f6 e3e8 a8e8 e1e8,597,"backRankMate,endgame,mate,mateIn2,short"
uEQpt,1k6/5R2/1K6/2P5/5p1r/8/8/8 b - - 9 55,h4h1 f7f8,460,"endgame,master,mate,mateIn1,oneMove,rookEndgame"
pP5G7,3q2k1/p1p1r1p1/6np/5Q2/8/2P3B1/P4PPP/4R1K1 w - - 2 28,e1e7 d8d1 e7e1 d1e1,571,"endgame,mate,mateIn2,short"
FN2Pm,8/1p3qbk/p1pr2rp/4p2N/2P1P3/6R1/PPP3PP/5R1K w - - 0 27,f1f7 d6d1 f7f1 d1f1,554,"backRankMate,endgame,mate,mateIn2,short"
Xu1OO,r2q2rk/p3RRp1/1p5Q/8/8/2Pp2P1/PP4PP/6K1 b - - 0 25,g7h6 f7h7,591,"endgame,mate,mateIn1,oneMove,queenRookEndgame"
